Country;Year;GDP per capita (USD);Life satisfaction
Afghanistan;2011;19.045.599;425.835
Albania;2011;11.052.794;6.388
Algeria;2011;11.078.229;7.006
Angola;2011;76.754.463;4.694
Argentina;2011;24.647.629;34.665
Armenia;2011;9.725.278;47.687
Aruba;2011;35.392.605;4.695
Australia;2011;45389.17;3.667
Austria;2011;53179.15;6.202.322
Azerbaijan;2011;13.913.837;5.306
Bahamas;2011;36.296.395;69.647
Bahrain;2011;44157.48;56.892
Barbados;2011;15.444.746;78.042
Belarus;2011;18.274.021;5.051
Belgium;2011;48154.87;4.633
Belize;2011;7.259.645;4.170.938
Benin;2011;27.078.696;60.859
Bermuda;2011;85.829.375;53.445
Bhutan;2011;8.744.958;70.937
Bolivia;2011;6.844.984;58.898
Bosnia and Herzegovina;2011;11.176.881;62.341
Botswana;2011;13.724.671;61.021
Brazil;2011;15.323.331;59.331
Brunei;2011;69388.81;4.039.651
Bulgaria;2011;18661.48;43.391
Burkina Faso;2011;17.757.792;41.978
Burundi;2011;8.525.026;60.711
Cambodia;2011;2.862.908;53.054
Cameroon;2011;32.423.545;4.954
Canada;2011;45.822.598;44.413
Cape Verde;2011;63.661.284;7.334
Cayman Islands;2011;66255.63;50.741
Central African Republic;2011;12.427.148;57.177
Chad;2011;16.767.694;47.433
Chile;2011;22.337.861;5.715
China;2011;9.680.098;5.123
Colombia;2011;12.480.547;32.682
Comoros;2011;29.246.855;60.779
Congo;2011;5.137.612;62.806
Costa Rica;2011;17.360.201;4.459
